prompt;n;size;created;url_img;destfile
A hand drawn sketch of a UFO;10;1024x1024;2022-11-06-02-42-06;https://oaidalleapiprodscus.blob.core.windows.net/private/org-NzPmYnKPtA2OfifpIfjpaaGc/user-21McymnFfhJyBoKrAOIPiG9e/img-r1YQzSSFCfVEksqnKu9aozIK.png?st=2022-11-05T23%3A42%3A06Z&se=2022-11-06T01%3A42%3A06Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2022-11-05T01%3A53%3A06Z&ske=2022-11-06T01%3A53%3A06Z&sks=b&skv=2021-08-06&sig=tBiTTpiJcXeOSAO8VfzaNj217kRzgDaoObuod8kMwqk%3D;dall-e-2022-11-06-02-42-06-10.png
A hand drawn sketch of a UFO;10;1024x1024;2022-11-06-02-42-06;https://oaidalleapiprodscus.blob.core.windows.net/private/org-NzPmYnKPtA2OfifpIfjpaaGc/user-21McymnFfhJyBoKrAOIPiG9e/img-1qKwzd85abeusoUYlh3pLSgN.png?st=2022-11-05T23%3A42%3A06Z&se=2022-11-06T01%3A42%3A06Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2022-11-05T01%3A53%3A06Z&ske=2022-11-06T01%3A53%3A06Z&sks=b&skv=2021-08-06&sig=CBRSSfeNT3%2BwXgJRqwzkAN5Ogbj3RFQlbRF9KYjzbiM%3D;dall-e-2022-11-06-02-42-06-10.png
A hand drawn sketch of a UFO;10;1024x1024;2022-11-06-02-42-06;https://oaidalleapiprodscus.blob.core.windows.net/private/org-NzPmYnKPtA2OfifpIfjpaaGc/user-21McymnFfhJyBoKrAOIPiG9e/img-MfXZGp9crSFVSnqYwuRr44BP.png?st=2022-11-05T23%3A42%3A06Z&se=2022-11-06T01%3A42%3A06Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2022-11-05T01%3A53%3A06Z&ske=2022-11-06T01%3A53%3A06Z&sks=b&skv=2021-08-06&sig=eQObfI%2B1DRWl/i5wFFlyTslEYzkhKHju71E4sp4FAT0%3D;dall-e-2022-11-06-02-42-06-10.png
A hand drawn sketch of a UFO;10;1024x1024;2022-11-06-02-42-06;https://oaidalleapiprodscus.blob.core.windows.net/private/org-NzPmYnKPtA2OfifpIfjpaaGc/user-21McymnFfhJyBoKrAOIPiG9e/img-WNbN1nxvUcJFBdBrrNtdG7Q6.png?st=2022-11-05T23%3A42%3A06Z&se=2022-11-06T01%3A42%3A06Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2022-11-05T01%3A53%3A06Z&ske=2022-11-06T01%3A53%3A06Z&sks=b&skv=2021-08-06&sig=OgFMrP5YeXS9Dbd150VGQwR0CnvrIxVKOvKdw0kBbw4%3D;dall-e-2022-11-06-02-42-06-10.png
A hand drawn sketch of a UFO;10;1024x1024;2022-11-06-02-42-06;https://oaidalleapiprodscus.blob.core.windows.net/private/org-NzPmYnKPtA2OfifpIfjpaaGc/user-21McymnFfhJyBoKrAOIPiG9e/img-uc4En8KR9ZqAPC3mmWBeNlNV.png?st=2022-11-05T23%3A42%3A06Z&se=2022-11-06T01%3A42%3A06Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2022-11-05T01%3A53%3A06Z&ske=2022-11-06T01%3A53%3A06Z&sks=b&skv=2021-08-06&sig=GL4ll51s4U22d6y3pLDsDuyoJlm80QfTVNRFM1uri7k%3D;dall-e-2022-11-06-02-42-06-10.png
A hand drawn sketch of a UFO;10;1024x1024;2022-11-06-02-42-06;https://oaidalleapiprodscus.blob.core.windows.net/private/org-NzPmYnKPtA2OfifpIfjpaaGc/user-21McymnFfhJyBoKrAOIPiG9e/img-T3AXPAukSGLusBnIoAEYuN93.png?st=2022-11-05T23%3A42%3A06Z&se=2022-11-06T01%3A42%3A06Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2022-11-05T01%3A53%3A06Z&ske=2022-11-06T01%3A53%3A06Z&sks=b&skv=2021-08-06&sig=pQlTHZ3ilRk0vb%2BTyRAwUGA5j9A7akETSPxNp07LA2w%3D;dall-e-2022-11-06-02-42-06-10.png
A hand drawn sketch of a UFO;10;1024x1024;2022-11-06-02-42-06;https://oaidalleapiprodscus.blob.core.windows.net/private/org-NzPmYnKPtA2OfifpIfjpaaGc/user-21McymnFfhJyBoKrAOIPiG9e/img-HDC4N60mLYqeohHVILJZdbLM.png?st=2022-11-05T23%3A42%3A06Z&se=2022-11-06T01%3A42%3A06Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2022-11-05T01%3A53%3A06Z&ske=2022-11-06T01%3A53%3A06Z&sks=b&skv=2021-08-06&sig=Lj/mlLxIe/qi%2BRF7fwHUd4Mbtd4ZKeJTAG1XnzUsD4c%3D;dall-e-2022-11-06-02-42-06-10.png
A hand drawn sketch of a UFO;10;1024x1024;2022-11-06-02-42-06;https://oaidalleapiprodscus.blob.core.windows.net/private/org-NzPmYnKPtA2OfifpIfjpaaGc/user-21McymnFfhJyBoKrAOIPiG9e/img-yuXKm60VyWCsHGYqFQsncK98.png?st=2022-11-05T23%3A42%3A06Z&se=2022-11-06T01%3A42%3A06Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2022-11-05T01%3A53%3A06Z&ske=2022-11-06T01%3A53%3A06Z&sks=b&skv=2021-08-06&sig=mYmQBiLdi%2BuqLofnRapUGGkbubGMOuV24jjge1WjvKU%3D;dall-e-2022-11-06-02-42-06-10.png
A hand drawn sketch of a UFO;10;1024x1024;2022-11-06-02-42-06;https://oaidalleapiprodscus.blob.core.windows.net/private/org-NzPmYnKPtA2OfifpIfjpaaGc/user-21McymnFfhJyBoKrAOIPiG9e/img-bnnRM1fA92RF7vQ48RtWinBm.png?st=2022-11-05T23%3A42%3A06Z&se=2022-11-06T01%3A42%3A06Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2022-11-05T01%3A53%3A06Z&ske=2022-11-06T01%3A53%3A06Z&sks=b&skv=2021-08-06&sig=52GtkK5FETqaOH/ZpAylSC8I1MY14YcI6JzIevswOZk%3D;dall-e-2022-11-06-02-42-06-10.png
A hand drawn sketch of a UFO;10;1024x1024;2022-11-06-02-42-06;https://oaidalleapiprodscus.blob.core.windows.net/private/org-NzPmYnKPtA2OfifpIfjpaaGc/user-21McymnFfhJyBoKrAOIPiG9e/img-YJwZ8WpuZ6ecTbsJzlkjfqxf.png?st=2022-11-05T23%3A42%3A06Z&se=2022-11-06T01%3A42%3A06Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2022-11-05T01%3A53%3A06Z&ske=2022-11-06T01%3A53%3A06Z&sks=b&skv=2021-08-06&sig=Bam6ySm19n0CZRI8RW9oOLji2E1Qd2GFVrqG7J9LFBg%3D;dall-e-2022-11-06-02-42-06-10.png
