prompt;n;size;created;url_img;destfile
Generate extremely realistic portraits of people, focusing on the details of their facial features, skin texture, and overall appearance. The portraits should look as if they could be photographs of real people.;10;1024x1024;2022-12-03-17-00-54;https://oaidalleapiprodscus.blob.core.windows.net/private/org-NzPmYnKPtA2OfifpIfjpaaGc/user-21McymnFfhJyBoKrAOIPiG9e/img-37bYcgvJWvurVHrkS2bYreb3.png?st=2022-12-03T14%3A00%3A54Z&se=2022-12-03T16%3A00%3A54Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2022-12-03T04%3A51%3A18Z&ske=2022-12-04T04%3A51%3A18Z&sks=b&skv=2021-08-06&sig=T35o07sEd%2BSn4/giwwwa8lTHIvCTCATeN3gjHZt2agI%3D;how_to_use_an_api_with_R/images/dall-e-2022-12-03-17-00-54-10.png
Generate extremely realistic portraits of people, focusing on the details of their facial features, skin texture, and overall appearance. The portraits should look as if they could be photographs of real people.;10;1024x1024;2022-12-03-17-00-54;https://oaidalleapiprodscus.blob.core.windows.net/private/org-NzPmYnKPtA2OfifpIfjpaaGc/user-21McymnFfhJyBoKrAOIPiG9e/img-94r6N0OzOGJ0dGut1UxrfXxV.png?st=2022-12-03T14%3A00%3A54Z&se=2022-12-03T16%3A00%3A54Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2022-12-03T04%3A51%3A18Z&ske=2022-12-04T04%3A51%3A18Z&sks=b&skv=2021-08-06&sig=1o47xx/rXkWIDkjWjpA/h5oSu4EnOXIrXYr5quVFjDc%3D;how_to_use_an_api_with_R/images/dall-e-2022-12-03-17-00-54-10.png
Generate extremely realistic portraits of people, focusing on the details of their facial features, skin texture, and overall appearance. The portraits should look as if they could be photographs of real people.;10;1024x1024;2022-12-03-17-00-54;https://oaidalleapiprodscus.blob.core.windows.net/private/org-NzPmYnKPtA2OfifpIfjpaaGc/user-21McymnFfhJyBoKrAOIPiG9e/img-jDs2mwAjsLWLx452oNpMRwXx.png?st=2022-12-03T14%3A00%3A54Z&se=2022-12-03T16%3A00%3A54Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2022-12-03T04%3A51%3A18Z&ske=2022-12-04T04%3A51%3A18Z&sks=b&skv=2021-08-06&sig=NrsLyWIqKoG3MKZDSyx2aVe2V6xyPckgtXudTJYOQRc%3D;how_to_use_an_api_with_R/images/dall-e-2022-12-03-17-00-54-10.png
Generate extremely realistic portraits of people, focusing on the details of their facial features, skin texture, and overall appearance. The portraits should look as if they could be photographs of real people.;10;1024x1024;2022-12-03-17-00-54;https://oaidalleapiprodscus.blob.core.windows.net/private/org-NzPmYnKPtA2OfifpIfjpaaGc/user-21McymnFfhJyBoKrAOIPiG9e/img-Nhn42qX4LnCyvC6QNjc9o1yI.png?st=2022-12-03T14%3A00%3A54Z&se=2022-12-03T16%3A00%3A54Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2022-12-03T04%3A51%3A18Z&ske=2022-12-04T04%3A51%3A18Z&sks=b&skv=2021-08-06&sig=So5SRnNQY4YgnWtsg5oQrBIKapRRSu5fGDlwBQVug/s%3D;how_to_use_an_api_with_R/images/dall-e-2022-12-03-17-00-54-10.png
Generate extremely realistic portraits of people, focusing on the details of their facial features, skin texture, and overall appearance. The portraits should look as if they could be photographs of real people.;10;1024x1024;2022-12-03-17-00-54;https://oaidalleapiprodscus.blob.core.windows.net/private/org-NzPmYnKPtA2OfifpIfjpaaGc/user-21McymnFfhJyBoKrAOIPiG9e/img-nkRqLGvaC8MPsJB7IrN35IO9.png?st=2022-12-03T14%3A00%3A54Z&se=2022-12-03T16%3A00%3A54Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2022-12-03T04%3A51%3A18Z&ske=2022-12-04T04%3A51%3A18Z&sks=b&skv=2021-08-06&sig=0RocqrpG9g448xK4MSw4bCrVtbEsBtzETcbZjBKZw7g%3D;how_to_use_an_api_with_R/images/dall-e-2022-12-03-17-00-54-10.png
Generate extremely realistic portraits of people, focusing on the details of their facial features, skin texture, and overall appearance. The portraits should look as if they could be photographs of real people.;10;1024x1024;2022-12-03-17-00-54;https://oaidalleapiprodscus.blob.core.windows.net/private/org-NzPmYnKPtA2OfifpIfjpaaGc/user-21McymnFfhJyBoKrAOIPiG9e/img-5Kl68FFL2ae4dfx9s2QMaSvK.png?st=2022-12-03T14%3A00%3A54Z&se=2022-12-03T16%3A00%3A54Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2022-12-03T04%3A51%3A18Z&ske=2022-12-04T04%3A51%3A18Z&sks=b&skv=2021-08-06&sig=TRfgoDTXOEog8VLXGBMrnniNKv71L4flbhQv3n%2BCqW8%3D;how_to_use_an_api_with_R/images/dall-e-2022-12-03-17-00-54-10.png
Generate extremely realistic portraits of people, focusing on the details of their facial features, skin texture, and overall appearance. The portraits should look as if they could be photographs of real people.;10;1024x1024;2022-12-03-17-00-54;https://oaidalleapiprodscus.blob.core.windows.net/private/org-NzPmYnKPtA2OfifpIfjpaaGc/user-21McymnFfhJyBoKrAOIPiG9e/img-36RNkFWFMXYzLYSLgrW0Nk1w.png?st=2022-12-03T14%3A00%3A54Z&se=2022-12-03T16%3A00%3A54Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2022-12-03T04%3A51%3A18Z&ske=2022-12-04T04%3A51%3A18Z&sks=b&skv=2021-08-06&sig=l9UCK%2BmRif/TL9YzUrr5Rg04YwqQblGOZmOe2OiULTE%3D;how_to_use_an_api_with_R/images/dall-e-2022-12-03-17-00-54-10.png
Generate extremely realistic portraits of people, focusing on the details of their facial features, skin texture, and overall appearance. The portraits should look as if they could be photographs of real people.;10;1024x1024;2022-12-03-17-00-54;https://oaidalleapiprodscus.blob.core.windows.net/private/org-NzPmYnKPtA2OfifpIfjpaaGc/user-21McymnFfhJyBoKrAOIPiG9e/img-x6eFRuMwzmr9FfvwbOJsLWLj.png?st=2022-12-03T14%3A00%3A54Z&se=2022-12-03T16%3A00%3A54Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2022-12-03T04%3A51%3A18Z&ske=2022-12-04T04%3A51%3A18Z&sks=b&skv=2021-08-06&sig=K9eNSRRnm8fhS0Y38yk09ugOqUAXCummziBdOxHWRfI%3D;how_to_use_an_api_with_R/images/dall-e-2022-12-03-17-00-54-10.png
Generate extremely realistic portraits of people, focusing on the details of their facial features, skin texture, and overall appearance. The portraits should look as if they could be photographs of real people.;10;1024x1024;2022-12-03-17-00-54;https://oaidalleapiprodscus.blob.core.windows.net/private/org-NzPmYnKPtA2OfifpIfjpaaGc/user-21McymnFfhJyBoKrAOIPiG9e/img-JKlsq4ryRgqPjglqqgtRjbh9.png?st=2022-12-03T14%3A00%3A54Z&se=2022-12-03T16%3A00%3A54Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2022-12-03T04%3A51%3A18Z&ske=2022-12-04T04%3A51%3A18Z&sks=b&skv=2021-08-06&sig=ISfyQMkiXVqh767RKdFvVLQ1WOqn8Oe6NCbqqr9%2BaBk%3D;how_to_use_an_api_with_R/images/dall-e-2022-12-03-17-00-54-10.png
Generate extremely realistic portraits of people, focusing on the details of their facial features, skin texture, and overall appearance. The portraits should look as if they could be photographs of real people.;10;1024x1024;2022-12-03-17-00-54;https://oaidalleapiprodscus.blob.core.windows.net/private/org-NzPmYnKPtA2OfifpIfjpaaGc/user-21McymnFfhJyBoKrAOIPiG9e/img-gWkBWaOuiwAO8Ti4g9j1pwuJ.png?st=2022-12-03T14%3A00%3A54Z&se=2022-12-03T16%3A00%3A54Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2022-12-03T04%3A51%3A18Z&ske=2022-12-04T04%3A51%3A18Z&sks=b&skv=2021-08-06&sig=35EJ98XbtOWCwvKOHnmZlAYqulSrBltePG5f9m1Ug7E%3D;how_to_use_an_api_with_R/images/dall-e-2022-12-03-17-00-54-10.png
